"name","humanDevelopmentIndex","pop2020"
"Norway","0.9530","5421.2410"
"Switzerland","0.9440","8654.6220"
"Australia","0.9390","25499.8840"
"Ireland","0.9380","4937.7860"
"Germany","0.9360","83783.9420"
"Iceland","0.9350","341.2430"
"Sweden","0.9330","10099.2650"
"Hong Kong","0.9330","7496.9810"
"Singapore","0.9320","5850.3420"
"Netherlands","0.9310","17134.8720"
"Denmark","0.9290","5792.2020"
"Canada","0.9260","37742.1540"
"United States","0.9240","331002.6510"
"United Kingdom","0.9220","67886.0110"
"Finland","0.9200","5540.7200"
"New Zealand","0.9170","4822.2330"
"Belgium","0.9160","11589.6230"
"Liechtenstein","0.9160","38.1280"
"Japan","0.9090","126476.4610"
"Austria","0.9080","9006.3980"
"Luxembourg","0.9040","625.9780"
"South Korea","0.9030","51269.1850"
"Israel","0.9030","8655.5350"
"France","0.9010","65273.5110"
"Slovenia","0.8960","2078.9380"
"Spain","0.8910","46754.7780"
"Czech Republic","0.8880","10708.9810"
"Italy","0.8800","60461.8260"
"Malta","0.8780","441.5430"
"Estonia","0.8710","1326.5350"
"Greece","0.8700","10423.0540"
"Cyprus","0.8690","1207.3590"
"Poland","0.8650","37846.6110"
"United Arab Emirates","0.8630","9890.4020"
"Lithuania","0.8580","2722.2890"
"Andorra","0.8580","77.2650"
"Qatar","0.8560","2881.0530"
"Slovakia","0.8550","5459.6420"
"Brunei","0.8530","437.4790"
"Saudi Arabia","0.8530","34813.8710"
"Portugal","0.8470","10196.7090"
"Latvia","0.8470","1886.1980"
"Bahrain","0.8460","1701.5750"
"Chile","0.8430","19116.2010"
"Hungary","0.8380","9660.3510"
"Croatia","0.8310","4105.2670"
"Argentina","0.8250","45195.7740"
"Oman","0.8210","5106.6260"
"Russia","0.8160","145934.4620"
"Montenegro","0.8140","628.0660"
"Bulgaria","0.8130","6948.4450"
"Romania","0.8110","19237.6910"
"Belarus","0.8080","9449.3230"
"Bahamas","0.8070","393.2440"
"Uruguay","0.8040","3473.7300"
"Kuwait","0.8030","4270.5710"
"Malaysia","0.8020","32365.9990"
"Barbados","0.8000","287.3750"
"Kazakhstan","0.8000","18776.7070"
"Palau","0.7980","18.0940"
"Iran","0.7980","83992.9490"
"Seychelles","0.7970","98.3470"
"Costa Rica","0.7940","5094.1180"
"Turkey","0.7910","84339.0670"
"Mauritius","0.7900","1271.7680"
